nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
PANTONE 5793 C,17.00,9.00,28.00,0.00,17.00,9.00,28.00,0.00
PANTONE 581 C,52.00,38.00,100.00,0.00,58.00,38.00,100.00,0.00
PANTONE 5815 C,14.00,2.00,76.00,48.00,0.00,2.00,73.00,44.00
PANTONE 582 C,34.00,20.00,100.00,0.00,34.00,20.00,100.00,0.00
PANTONE 5825 C,30.00,25.00,66.00,0.00,33.00,25.00,60.00,0.00
PANTONE 5825 U,27.00,20.00,45.00,0.00,27.00,20.00,45.00,0.00
PANTONE 583 C,11.00,0.00,87.00,6.00,7.00,0.00,86.00,6.00
PANTONE 5835 C,14.00,12.00,50.00,5.00,23.00,12.00,50.00,0.00
PANTONE 584 C,5.00,0.00,54.00,2.00,4.00,1.00,50.00,0.00
PANTONE 5845 C,10.00,10.00,45.00,5.00,21.00,13.00,55.00,0.00
PANTONE 585 C,5.00,0.00,42.00,0.00,3.00,1.00,38.00,0.00
PANTONE 5855 C,14.00,10.00,35.00,0.00,14.00,10.00,35.00,0.00
PANTONE 586 C,3.00,0.00,32.00,0.00,1.00,0.00,27.00,0.00
PANTONE 5865 C,10.00,7.00,29.00,0.00,10.00,7.00,29.00,0.00
PANTONE 587 C,2.00,0.00,30.00,0.00,1.00,1.00,30.00,0.00
PANTONE 600 C,0.00,0.00,27.00,0.00,0.00,1.00,27.00,0.00
PANTONE 601 C,0.00,0.00,31.00,0.00,0.00,1.00,31.00,0.00
PANTONE 602 C,0.00,0.00,34.00,1.00,0.00,0.90,29.00,0.00
PANTONE 603 C,2.00,1.00,50.00,1.00,1.00,1.00,50.00,0.00
PANTONE 604 C,2.00,0.00,100.00,0.00,2.00,0.00,100.00,0.00
PANTONE 605 C,5.00,4.00,78.00,0.00,5.00,4.00,78.00,0.00
PANTONE 606 C,11.00,8.00,100.00,0.00,11.00,8.00,100.00,0.00
PANTONE 607 C,1.00,0.00,27.00,0.00,1.00,1.00,22.00,0.00
PANTONE 608 C,1.00,0.00,33.00,0.00,1.00,1.00,26.00,0.00
PANTONE 609 C,1.00,0.00,38.00,3.00,1.00,1.00,32.00,0.00
PANTONE 610 C,5.00,4.00,58.00,0.00,5.00,4.00,58.00,0.00
PANTONE 611 C,6.00,4.00,68.00,0.00,6.00,4.00,68.00,0.00
PANTONE 612 C,11.00,8.00,80.00,0.00,11.00,8.00,80.00,0.00
PANTONE 613 C,20.00,14.00,100.00,0.00,20.00,14.00,100.00,0.00
PANTONE 614 C,2.00,1.00,14.00,4.00,0.50,1.00,10.00,2.00
PANTONE 615 C,2.00,1.00,15.00,5.00,0.50,1.50,10.00,2.00
PANTONE 616 C,2.00,1.00,16.00,6.00,0.50,1.50,10.00,3.00
PANTONE 617 C,10.00,8.00,50.00,3.00,10.00,8.00,50.00,3.00
PANTONE 618 C,21.00,15.00,100.00,1.00,20.00,14.00,100.00,0.00
PANTONE 619 C,26.00,20.00,100.00,1.00,26.00,20.00,100.00,0.00
PANTONE 624 C,38.00,10.00,31.00,0.00,36.00,10.00,30.00,0.00
PANTONE 625 C,54.00,15.00,41.00,0.00,50.00,15.00,40.00,0.00
PANTONE 626 C,74.00,27.00,70.00,0.00,74.00,27.00,70.00,0.00
PANTONE 628 C,14.00,0.00,7.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 629 C,19.00,0.00,8.00,0.00,14.00,0.00,3.00,0.00
PANTONE 630 C,24.00,0.00,9.00,0.00,19.00,0.00,3.00,0.00
PANTONE 631 C,47.00,0.00,13.00,0.00,44.00,0.00,8.00,0.00
PANTONE 633 C,82.00,0.00,22.00,1.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 633 U,69.00,10.00,22.00,0.00,69.00,10.00,22.00,0.00
PANTONE 635 C,21.00,0.00,10.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 636 C,26.00,0.00,8.00,0.00,25.00,0.00,3.00,0.00
PANTONE 637 C,37.00,0.00,9.00,0.00,32.00,0.00,3.50,0.00
PANTONE 638 C,50.00,0.00,11.00,0.00,46.00,0.00,5.50,0.00
PANTONE 639 C,61.00,0.00,12.00,0.00,56.00,0.00,8.00,0.00
PANTONE 640 C,72.00,0.00,16.00,0.00,71.00,0.00,14.00,0.00
PANTONE 641 C,98.00,0.00,31.00,0.00,94.00,0.00,26.00,0.00
PANTONE 644 C,18.00,2.00,3.00,7.00,14.00,2.00,0.00,4.00
PANTONE 644 U,14.00,2.00,0.00,5.00,14.00,2.00,0.00,5.00
PANTONE 645 C,29.00,4.00,3.00,9.00,28.00,4.00,0.00,6.00
PANTONE 646 C,59.00,12.00,5.00,10.00,59.00,18.00,10.00,0.00
PANTONE 647 C,74.00,28.00,12.00,0.00,74.00,28.00,12.00,0.00
PANTONE 648 C,90.00,42.00,0.00,34.00,90.00,42.00,0.00,34.00
PANTONE 648 U,75.00,46.00,30.00,0.00,75.00,46.00,30.00,0.00
PANTONE 649 C,4.00,0.00,1.00,2.00,3.00,1.50,1.00,0.00
PANTONE 650 C,8.00,0.00,1.00,2.00,6.00,2.00,1.00,0.00
